" ""Nom du Produit""            ";" ""Description""                                                                                                      ";" ""Prix""   ";" ""Site Web""                    ";" ""En Promotion"" ";" ""Identifiant"" ";" ""Catégorie"""
 Crocs Classic Clog        ; Les sabots Crocs Classic offrent un confort ultime et une durabilité exceptionnelle, parfaits pour un usage quotidien. Garantie de 1 an incluse. ; 44.99  ; https://www.crocs.com       ; Non          ; 3           ; Chaussures
 GoPro HERO9 Black         ; La caméra d'action GoPro HERO9 Black offre une vidéo 5K, une stabilisation avancée, et une durabilité exceptionnelle. Garantie de 1 an incluse. ; 399.99 ; https://www.gopro.com       ; Non          ; 18          ; Électronique
 Columbia Newton Ridge Plus ; Les bottes de randonnée Columbia Newton Ridge Plus offrent une durabilité et un confort exceptionnels, parfaites pour les aventures en plein air. Garantie de 1 an incluse. ; 79.99  ; https://www.columbia.com    ; Oui          ; 3           ; Chaussures
 Logitech MX Master 3      ; La souris sans fil Logitech MX Master 3 offre une précision et une ergonomie exceptionnelles, parfaite pour la productivité. Garantie de 2 ans incluse. ; 99.99  ; https://www.logitech.com    ; Non          ; 12          ; Accessoires
 Beats by Dre Studio3      ; Les écouteurs sans fil Beats by Dre Studio3 offrent une réduction de bruit active et un son de haute qualité. Garantie de 2 ans incluse. ; 349.99 ; https://www.beatsbydre.com  ; Oui          ; 4           ; Électronique Audio
 Fitbit Charge 4           ; Le bracelet de fitness Fitbit Charge 4 offre un suivi GPS intégré, un suivi du sommeil et des notifications intelligentes. Garantie de 1 an incluse. ; 149.99 ; https://www.fitbit.com      ; Non          ; 11          ; Montres Intelligentes
 KitchenAid K400 Blender   ; Le blender KitchenAid K400 offre une performance exceptionnelle pour les smoothies, les soupes et plus encore. Garantie de 2 ans incluse. ; 249.99 ; https://www.kitchenaid.com  ; Oui          ; 17          ; Cuisine
 Under Armour HOVR Phantom ; Les chaussures de course Under Armour HOVR Phantom offrent un confort et une réactivité optimaux, avec une technologie de suivi intégré. Garantie de 1 an incluse. ; 140.00 ; https://www.underarmour.com ; Non          ; 3           ; Chaussures
 HP Envy 6055e Printer     ; L'imprimante tout-en-un HP Envy 6055e offre une impression de haute qualité avec des fonctionnalités de numérisation et de copie. Garantie de 1 an incluse. ; 129.99 ; https://www.hp.com          ; Oui          ; 12          ; Accessoires
 Patagonia Nano Puff Jacket; La veste Patagonia Nano Puff offre une isolation légère et une chaleur exceptionnelle, fabriquée avec des matériaux recyclés. Garantie à vie. ; 199.99 ; https://www.patagonia.com   ; Non          ; 14          ; Vêtements
 DJI Mini 2                ; Le drone DJI Mini 2 offre une caméra 4K, une autonomie de vol étendue et des fonctionnalités de vol intelligentes. Garantie de 1 an incluse. ; 449.99 ; https://www.dji.com         ; Oui          ; 18          ; Électronique
 Skechers D'Lites          ; Les chaussures Skechers D'Lites offrent un confort et un style exceptionnels avec une semelle intérieure en mousse à mémoire de forme. Garantie de 1 an incluse. ; 64.99  ; https://www.skechers.com    ; Non          ; 3           ; Chaussures
 Casio CT-X700             ; Le clavier numérique Casio CT-X700 offre une gamme de sons de haute qualité et des fonctionnalités d'apprentissage intégrées. Garantie de 2 ans incluse. ; 199.99 ; https://www.casio.com       ; Oui          ; 20          ; Instruments Musicaux
 Victorinox Swiss Army Knife ; Le couteau suisse Victorinox offre une polyvalence exceptionnelle avec de multiples outils intégrés. Fabriqué en acier inoxydable. Garantie à vie. ; 39.99  ; https://www.victorinox.com  ; Non          ; 25          ; Outillage
 Samsung Galaxy Tab S7     ; La tablette Samsung Galaxy Tab S7 offre des performances exceptionnelles avec un écran de 11 pouces et une compatibilité avec le S Pen. Garantie de 2 ans incluse. ; 649.99 ; https://www.samsung.com     ; Oui          ; 1           ; Tablettes
 Coleman Sundome Tent      ; La tente Coleman Sundome offre une installation facile et une protection contre les intempéries, parfaite pour le camping. Garantie de 1 an incluse. ; 89.99  ; https://www.coleman.com     ; Non          ; 29          ; Camping
 Hydro Flask Water Bottle  ; La bouteille d'eau Hydro Flask offre une isolation exceptionnelle pour garder les boissons froides ou chaudes. Garantie à vie. ; 39.99  ; https://www.hydroflask.com  ; Oui          ; 28          ; Accessoires
 Milwaukee M18 Drill Set   ; Le kit de perceuse Milwaukee M18 offre une puissance et une durabilité exceptionnelles, parfait pour les professionnels et les bricoleurs. Garantie de 5 ans incluse. ; 299.99 ; https://www.milwaukeetool.com; Non          ; 25          ; Outillage
 Apple AirPods Pro         ; Les écouteurs sans fil Apple AirPods Pro offrent une réduction de bruit active et un son de haute qualité. Garantie de 1 an incluse. ; 249.99 ; https://www.apple.com       ; Oui          ; 4           ; Électronique Audio
 Brooks Ghost 13           ; Les chaussures de course Brooks Ghost 13 offrent un confort et un soutien exceptionnels avec une semelle intermédiaire amortissante. Garantie de 1 an incluse. ; 129.99 ; https://www.brooksrunning.com; Non          ; 3           ; Chaussures
 Cuisinart 12-Cup Coffee Maker ; La cafetière Cuisinart 12 tasses offre des fonctionnalités avancées pour un café délicieux à chaque fois. Garantie de 3 ans incluse. ; 99.99  ; https://www.cuisinart.com   ; Oui          ; 17          ; Cuisine
 Merrell Moab 2            ; Les chaussures de randonnée Merrell Moab 2 offrent un confort et une durabilité exceptionnels avec une semelle extérieure Vibram. Garantie de 1 an incluse. ; 109.99 ; https://www.merrell.com     ; Non          ; 3           ; Chaussures
 Asus ROG Strix G15        ; L'ordinateur portable de jeu Asus ROG Strix G15 offre des performances de pointe avec un processeur Ryzen 7 et une carte graphique RTX 3050. Garantie de 2 ans incluse. ; 1299.99; https://www.asus.com        ; Oui          ; 2           ; Ordinateurs
